1038 1015
25940814 35.7065232 51.4061651
25940815 35.7012858 51.40526
25941428 35.706781 51.4185013
25969112 35.7012414 51.4028004
25969116 35.7037483 51.4056765
25969873 35.7111958 51.4070351
26206695 35.7066723 51.4036113
26206696 35.7062411 51.4035675
159620152 35.7059365 51.4122045
159620158 35.7038596 51.4096741
159620160 35.703555 51.4059182
159620161 35.7041792 51.4059263
166159398 35.7069553 51.3980358
166159603 35.7086177 51.4039206
166160593 35.7077736 51.4009324
166160596 35.7059924 51.4017319
166176637 35.7078197 51.4088382
166177877 35.7073841 51.3995537
166182629 35.7039105 51.4026691
166182741 35.7034927 51.4011618
166185067 35.6956054 51.4019648
375947465 35.706713 51.4153925
411824491 35.6993667 51.4025027
423317612 35.7053463 51.4186487
423317764 35.7051297 51.4155553
423733368 35.6942547 51.4017544
423733369 35.6947145 51.401826
423733370 35.6972031 51.4021943
423733371 35.698389 51.4023646
423733372 35.7001787 51.4026218
423733376 35.7038884 51.4045528
423733377 35.7022142 51.4029195
423733378 35.7019972 51.4001621
423733380 35.7012582 51.4040738
423733411 35.7065021 51.4050268
423733412 35.7024108 51.4014806
423733414 35.7089118 51.4054194
424402204 35.7055296 51.4211824
424402723 35.7054326 51.4198829
451013381 35.7066247 51.4037687
451013382 35.706638 51.4034572
451013385 35.7062971 51.4034202
451013391 35.7063728 51.4038479
735011128 35.7073628 51.4030579
735011226 35.7093488 51.4022192
735011361 35.7069282 51.3979399
735011441 35.7082662 51.4026762
735011443 35.70742 51.4037302
854326015 35.7042536 51.4057704
854326036 35.7147941 51.4130533
854326052 35.7133927 51.4126374
854326053 35.7130152 51.4125748
854326054 35.7126807 51.4125916
854326055 35.7082997 51.4128834
866834010 35.6997576 51.40256
945251728 35.7020665 51.4113797
945251746 35.7020493 51.4106958
945251754 35.7020861 51.4127619
1043825849 35.7020953 51.4097076
1043825855 35.7042095 51.4107647
1043825859 35.7033219 51.4118322
1043825864 35.7021363 51.4125764
1701655941 35.7024032 51.4143021
1701655952 35.7050237 51.4140394
1730748315 35.7022853 51.4128296
1730748318 35.7025744 51.412631
1730748323 35.7049074 51.4125419
1730748326 35.7059919 51.4122395
1730748327 35.7060368 51.4124278
1730748330 35.7062435 51.4036541
1730748333 35.7062597 51.4034884
1730748335 35.7062684 51.4037351
1730748338 35.7063131 51.4038021
1730748341 35.7063496 51.4033692
1730748345 35.706484 51.4038688
1730748348 35.7064767 51.4033361
1730748363 35.7065393 51.4033554
1730748365 35.7065365 51.4073279
1730748367 35.7065733 51.4038256
1730748369 35.7065945 51.4033967
1730748371 35.7066588 51.4036947
1730748373 35.706595 51.4121727
1730748375 35.7066414 51.4123667
1730748377 35.7066647 51.403531
1730748415 35.7078811 51.4075769
1730748417 35.7079919 51.4090143
1730748423 35.7080617 51.4134561
1730748428 35.7081422 51.4109628
1730748431 35.708146 51.41524
1730748435 35.7081816 51.4121972
1730748440 35.7082472 51.412193
1730748443 35.7082673 51.4133163
1730748445 35.708334 51.4129572
1730748454 35.7083682 51.4131664
1730748458 35.7084714 51.412996
1730748460 35.7084754 51.4130871
1730748464 35.7084981 51.4065906
1730748477 35.7086265 51.4130273
1730748508 35.7086936 51.4091692
1730748523 35.7087626 51.4092329
1730748528 35.7088236 51.4108834
1730748534 35.7088531 51.4107725
1730748536 35.7088661 51.4121285
1730748540 35.708916 51.4129972
1730748549 35.7091737 51.4066394
1730748569 35.7093279 51.4119532
1730748571 35.709328 51.41207
1730748574 35.7093578 51.4091232
1730748577 35.7093883 51.4129328
1730748582 35.7095276 51.4129173
1730748594 35.7098753 51.4067682
1730748601 35.7098975 51.4041241
1730748608 35.7099457 51.4091273
1730748628 35.7100022 51.4090786
1730748632 35.7100362 51.4106669
1730748634 35.710096 51.4107543
1730748637 35.7101442 51.4119686
1730748639 35.710162 51.4128471
1730748641 35.7101567 51.4117777
1730748694 35.7105388 51.4118185
1730748709 35.7107719 51.4127848
1730748740 35.7112647 51.4127349
1730748748 35.7113635 51.4106259
1730748800 35.7120109 51.4105602
1730748814 35.7122042 51.4105406
1730748893 35.7127288 51.4104874
1730749041 35.7138551 51.4127742
1730749054 35.7139717 51.4128088
1854989216 35.7063943 51.3960499
1919423534 35.7018124 51.409396
1919423561 35.7014639 51.4086772
1919423564 35.7016331 51.4085292
1919423568 35.7013354 51.4085754
1919423571 35.7022209 51.4129427
1919423575 35.7016992 51.4102973
1919423577 35.7026835 51.4073683
1919423578 35.7017776 51.4110912
1919423580 35.7022379 51.4090922
1919423581 35.702039 51.4097501
1919423582 35.7017027 51.4110799
1919423584 35.7019623 51.4132537
1919423589 35.7027046 51.4084943
1919423591 35.7018037 51.4102758
1919423605 35.7015253 51.4130377
1919423606 35.7015756 51.4135757
1919423608 35.7021901 51.4086598
1919423609 35.702241 51.4132174
1919423612 35.7019871 51.4135182
1919423617 35.7020651 51.4091171
1919423621 35.7030145 51.4085645
1919423623 35.7015162 51.4126683
1919423625 35.701795 51.4126469
1919423626 35.7020564 51.409396
1923326702 35.7011194 51.4027843
1923326718 35.7040379 51.4031867
1923326720 35.7064122 51.4033403
1923326721 35.7065101 51.4038598
1924297851 35.7087969 51.4065697
1924297943 35.7090613 51.4039911
1937956175 35.6987467 51.4024151
2021149633 35.7074019 51.4051745
2021149638 35.7094104 51.4040466
2021149640 35.7086999 51.4039337
2021149642 35.7098536 51.4041171
2021149643 35.710006 51.4055968
2021149644 35.7085708 51.4053641
2021149647 35.7101344 51.4041617
2021151057 35.7102088 51.4041736
2021217215 35.7109654 51.4057597
2021220643 35.7078237 51.4032642
2021220644 35.7078491 51.4037984
2021221600 35.7066621 51.4014321
2021221602 35.707167 51.4031378
2021222131 35.7072225 51.4011801
2021222133 35.7077059 51.402913
2021224231 35.7075057 51.4027546
2021224232 35.7076457 51.4026974
2021254062 35.7051494 51.4021121
2021254063 35.7047092 51.4028726
2021254064 35.7045607 51.4023768
2021254065 35.7053364 51.4027867
2021254178 35.7104456 51.4068835
2021255734 35.7047067 51.4032946
2021255738 35.7047266 51.403012
2021255786 35.7079518 51.4064248
2021255787 35.7079413 51.4075801
2021255788 35.7079974 51.4075757
2021256510 35.7074483 51.4074968
2021256511 35.7074406 51.4063313
2021261536 35.7049218 51.4022145
2021267425 35.7026156 51.402014
2021267426 35.7032821 51.403076
2021267427 35.7025063 51.4029623
2021267428 35.7033126 51.4027704
2021267429 35.7028902 51.4013393
2021267915 35.7023759 51.4017359
2021267917 35.7022851 51.4010783
2021277622 35.7022565 51.4034145
2021277623 35.7035219 51.4031111
2021277624 35.7023152 51.4029343
2021277625 35.7025745 51.4036747
2021277626 35.7019168 51.4037738
2021277627 35.7018254 51.4033393
2021277628 35.7025466 51.4043085
2021277629 35.7018786 51.4028692
2021277631 35.7025658 51.4041682
2021277633 35.7034632 51.4037149
2021277634 35.7029967 51.4030341
2021277635 35.7018641 51.4041842
2021277637 35.7026654 51.4029856
2021281011 35.7024701 51.4051149
2021281012 35.7024479 51.4054619
2021281253 35.7032115 51.4044295
2043956182 35.6938919 51.4016979
2043978502 35.6950446 51.4018774
2044022716 35.6962904 51.4020655
2044031065 35.6952408 51.401908
2044031077 35.6941123 51.4017322
2044031079 35.6933564 51.4016145
2044036230 35.7003592 51.4026472
2044036236 35.6975999 51.4022513
2183033033 35.7040902 51.4085883
2183033034 35.7039835 51.4080117
2183033035 35.7040293 51.4084837
2183033036 35.7040946 51.408642
2183033037 35.7038572 51.4086634
2183033038 35.7038071 51.4080304
2183033039 35.7040641 51.408583
2183034454 35.7042858 51.4075683
2183034455 35.703956 51.4059301
2183034456 35.7045361 51.4076806
2183034457 35.7045536 51.4075893
2183034458 35.7043678 51.4076312
2183034459 35.7044094 51.407729
2183034460 35.7039993 51.4060784
2183034462 35.7039518 51.4062432
2183034463 35.7042399 51.4073926
2203911499 35.7012866 51.4128381
2203911537 35.7014276 51.4114236
2203911543 35.7014531 51.4128246
2520626205 35.6966484 51.4021146
2769012142 35.7067515 51.4171518
3015921080 35.7067155 51.4059047
3069590525 35.7060635 51.4060976
3069590526 35.7060725 51.4072908
3069590527 35.7054495 51.407339
3069590528 35.705467 51.4080579
3069590529 35.7048856 51.4081164
3135522367 35.7052119 51.416803
3482726530 35.6956824 51.4019759
3506276580 35.7063776 51.406975
3512977906 35.7067307 51.412401
3512983371 35.7066949 51.4108185
3784838011 35.7018212 51.4130449
3784838457 35.7106838 51.4042491
3858822490 35.7112069 51.4069306
3858822491 35.7061441 51.4060198
3858822492 35.7008402 51.4050672
3858822494 35.6959305 51.4042196
3876630885 35.7061613 51.4060462
3876630886 35.7070521 51.4061266
3876630889 35.7017224 51.4052388
3883010009 35.708802 51.4064958
3883010010 35.7065284 51.4060893
3883010011 35.7037577 51.4055983
3883010012 35.7012844 51.4051536
3883010013 35.7011805 51.405132
3883010014 35.6997427 51.4048839
3883010018 35.6981457 51.4046125
3883010019 35.6969422 51.4044061
3883010020 35.695571 51.4041564
3906463711 35.7011908 51.4027924
3906463712 35.7011561 51.4027897
3906463715 35.7012619 51.4051491
3906463716 35.7012037 51.4051372
3937106149 35.6954055 51.4019337
4035094038 35.7074121 51.4044176
4035094045 35.7076402 51.4044378
4071220796 35.7067704 51.4059275
4298643092 35.7029526 51.4057328
4314182760 35.7066107 51.4131233
4396465089 35.707492 51.4065212
4399259032 35.7013056 51.4065638
4399259033 35.7028597 51.4064183
4399259034 35.702851 51.4059623
4399259035 35.7028897 51.4055333
4407879295 35.7036552 51.4046207
4415945510 35.7078297 51.4059974
4415945511 35.7068511 51.405902
4415945512 35.7066272 51.4054553
4415945513 35.7066963 51.4051184
4415945514 35.7079137 51.4053218
4415998174 35.7067908 51.4120056
4415998175 35.7067567 51.4109714
4415998176 35.7080594 51.4109062
4415998177 35.7080935 51.4119404
